Record_ID,MunicipalityName,PRNAME,PRUID,CSDNAME,CSDUID,ERNAME,ERUID,CMANAME,CMAUID,FacilityType,MainCommodities,Additonal Information,Longitude,Latitude,Comments,Sourceofdataentry
1000001,Argentia,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,Placentia,1001240,Avalon Peninsula,1010,,,Commercial/Leisure,"Bulk cargo, oil ",https://portofargentia.ca/port-of-argentia/about/,-53.98577262,47.29679066,,Internal Transport Canada Research
1000002,Arnold's Cove,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,Arnold's Cove,1001270,Avalon Peninsula,1010,,,Leisure,N/A,https://shipnext.com/port/arnold-s-cove-caarc-can,-53.98959319,47.75792622,,Internal Transport Canada Research
1000003,Baie Verte,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,Baie Verte,1008079,Notre Dame--Central Bonavista Bay,1040,,,Commercial/Leisure,N/A,http://www.townofbaieverte.ca/about_us.php,-56.17840061,49.94299862,,Internal Transport Canada Research
1000004,Bay Bulls,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,"Division No.  1, Subd. D",1001565,Avalon Peninsula,1010,,,Commercial/Leisure,"Oil, fish","https://shipnext.com/port/bay-bulls-cabbu-can
http://pennecon.com/capabilities/marine/",-52.81085876,47.31520789,,Internal Transport Canada Research
1000005,Bay Roberts,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,Bay Roberts,1001409,Avalon Peninsula,1010,Bay Roberts,005,Commercial/Leisure,N/A,https://www.bayroberts.com/?page_id=878,-53.2675031,47.58869916,,Internal Transport Canada Research
1000006,Black Tickle,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,"Division No. 10, Subd. B",1010008,West Coast--Northern Peninsula--Labrador / Côte-ouest--Northern Peninsula--Labrador,1030,,,Commercial/Leisure,N/A,https://labradorferry.ca/,-55.76519997,53.45588917,,Internal Transport Canada Research
1000007,Blanc-Sablon,Quebec / Québec,24,Blanc-Sablon,2498005,Côte-Nord,2480,,,Commercial/Leisure,"Petroleum products, general cargo","https://shipnext.com/port/blanc-sablon-caybx-can
http://www.hsmaritime.com/ports/blanc-sablon/",-57.15158762,51.42037359,,Internal Transport Canada Research
1000008,Bonavista,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,"Division No.  7, Subd. G",1007024,Notre Dame--Central Bonavista Bay,1040,,,,,,-53.11453424,48.64941894,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
1000009,Botwood,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,Botwood,1006022,Notre Dame--Central Bonavista Bay,1040,,,Commercial/Leisure,"Pulp/paper products, fish, wood products, petroleum, fuel, 
caustic soda, sulphur",http://www.hsmaritime.com/ports/botwood/,-55.3414966,49.15255778,,Internal Transport Canada Research
1000010,Burgeo,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,Burgeo,1003028,South Coast--Burin Peninsula / Côte-sud--Burin Peninsula,1020,,,Commercial/Leisure,Fish,https://shipnext.com/port/burgeo-cabuo-can,-57.62127018,47.61705558,,Internal Transport Canada Research
